time,location,growth
118,FL,854
118,MI,892
118,NJ,1748
118,NY,1498
118,Other,12398
118,South,2719
118,TX,770
119,CA,2315
119,FL,502
119,MI,610
119,NJ,1132
119,NY,1386
119,Other,11142
119,South,2580
119,TX,1340
120,CA,2204
120,FL,527
120,MI,857
120,NJ,1443
120,NY,1166
120,Other,12463
120,South,2792
120,TX,1245
121,CA,2112
121,FL,1204
121,MI,666
121,NJ,826
121,NY,1866
121,Other,13546
121,South,4252
121,TX,1294
122,CA,2288
122,FL,776
122,MI,555
122,NJ,1016
122,NY,1900
122,Other,12938
122,South,3645
122,TX,538
123,CA,2165
123,FL,676
123,MI,503
123,NJ,565
123,NY,2071
123,Other,11282
123,South,2735
123,TX,1115
124,CA,1414
124,FL,740
124,MI,349
124,NJ,1019
124,NY,1808
124,Other,11121
124,South,2587
124,TX,1029
125,CA,2334
125,FL,879
125,MI,226
125,NJ,941
125,NY,1691
125,Other,9192
125,South,2936
125,TX,473
126,CA,3160
126,FL,509
126,MI,353
126,NJ,687
126,NY,961
126,Other,10042
126,South,2904
126,TX,1034
127,CA,1723
127,FL,379
127,MI,618
127,NJ,879
127,NY,933
127,Other,9614
127,South,3033
127,TX,1370
128,CA,2858
128,FL,651
128,MI,524
128,NJ,576
128,NY,1156
128,Other,11328
128,South,3442
128,TX,1787
129,CA,2830
129,FL,1212
129,MI,717
129,NJ,1667
129,NY,1663
129,Other,12401
129,South,3353
129,TX,629
130,CA,3214
130,FL,927
130,MI,392
130,NJ,770
130,NY,1372
130,Other,11403
130,South,3764
130,TX,1791
131,CA,1982
131,FL,739
131,MI,486
131,NJ,838
131,NY,1209
131,Other,8913
131,South,3121
131,TX,1699
132,CA,2769
132,FL,667
132,MI,217
132,NJ,486
132,NY,1136
132,Other,8428
132,South,2744
132,TX,988
133,CA,2604
133,FL,617
133,MI,312
133,NJ,658
133,NY,1069
133,Other,10338
133,South,4068
133,TX,1837
134,CA,2291
134,FL,1317
134,MI,417
134,NJ,541
134,NY,789
134,Other,9587
134,South,3349
134,TX,1553
135,CA,2933
135,FL,1419
135,MI,322
135,NJ,478
135,NY,1212
135,Other,9996
135,South,3609
135,TX,1680
136,CA,3518
136,FL,1305
136,MI,842
136,NJ,825
136,NY,1123
136,Other,11210
136,South,4769
136,TX,1808
137,CA,2714
137,FL,1270
137,MI,93
137,NJ,566
137,NY,1055
137,Other,9927
137,South,3493
137,TX,2042
138,CA,2063
138,FL,1180
138,MI,55
138,NJ,279
138,NY,857
138,Other,8722
138,South,3715
138,TX,1045
139,CA,3303
139,FL,966
139,MI,135
139,NJ,348
139,NY,736
139,Other,7495
139,South,3662
139,TX,992
140,CA,3074
140,FL,1096
140,MI,63
140,NJ,316
140,NY,598
140,Other,7400
140,South,4097
140,TX,1738
141,CA,3125
141,FL,1371
141,MI,15
141,NJ,566
141,NY,461
141,Other,8516
141,South,4497
141,TX,2559
142,CA,3773
142,FL,1698
142,MI,267
142,NJ,495
142,NY,810
142,Other,9267
142,South,4868
142,TX,1954
143,CA,3348
143,FL,1902
143,MI,223
143,NJ,367
143,NY,816
143,Other,10118
143,South,5980
143,TX,2111
144,CA,3467
144,FL,2581
144,MI,164
144,NJ,456
144,NY,760
144,Other,9535
144,South,6104
144,TX,2141
145,CA,2160
145,FL,2016
145,MI,218
145,NJ,284
145,NY,693
145,Other,7066
145,South,4924
145,TX,1587
146,CA,3559
146,FL,1758
146,MI,31
146,NJ,244
146,NY,667
146,Other,7773
146,South,4078
146,TX,1709
147,CA,3529
147,FL,2783
147,MI,184
147,NJ,353
147,NY,509
147,Other,8709
147,South,4327
147,TX,3276
148,CA,4276
148,FL,2610
148,MI,228
148,NJ,301
148,NY,411
148,Other,9293
148,South,5584
148,TX,4355
149,CA,4918
149,FL,3207
149,MI,301
149,NJ,425
149,NY,699
149,Other,10656
149,South,4869
149,TX,3447
150,CA,4085
150,FL,3822
150,MI,299
150,NJ,419
150,NY,824
150,Other,12697
150,South,5345
150,TX,4069
151,CA,4448
151,FL,4049
151,MI,448
151,NJ,355
151,NY,695
151,Other,11655
151,South,6004
151,TX,4615
152,CA,3261
152,FL,3494
152,MI,166
152,NJ,321
152,NY,666
152,Other,9971
152,South,4405
152,TX,2862
153,CA,6811
153,FL,2926
153,MI,246
153,NJ,305
153,NY,642
153,Other,9598
153,South,6509
153,TX,5110
154,CA,7593
154,FL,3286
154,MI,240
154,NJ,358
154,NY,501
154,Other,12001
154,South,7866
154,TX,5218
155,CA,5322
155,FL,5511
155,MI,358
155,NJ,177
155,NY,473
155,Other,10647
155,South,7600
155,TX,5770
156,CA,5617
156,FL,5004
156,MI,434
156,NJ,335
156,NY,814
156,Other,14034
156,South,8290
156,TX,5787
157,CA,6272
157,FL,8942
157,MI,340
157,NJ,412
157,NY,829
157,Other,14193
157,South,9320
157,TX,5674
158,CA,3968
158,FL,9585
158,MI,350
158,NJ,311
158,NY,734
158,Other,14313
158,South,6496
158,TX,5583
159,CA,5101
159,FL,8530
159,MI,267
159,NJ,325
159,NY,611
159,Other,12913
159,South,8187
159,TX,4791
160,CA,8757
160,FL,5266
160,MI,277
160,NJ,133
160,NY,534
160,Other,10399
160,South,9524
160,TX,6389
161,CA,8146
161,FL,6093
161,MI,505
161,NJ,434
161,NY,503
161,Other,15124
161,South,9318
161,TX,6303
162,CA,7593
162,FL,6563
162,MI,361
162,NJ,301
162,NY,547
162,Other,15535
162,South,11787
162,TX,9122
163,CA,8177
163,FL,10109
163,MI,589
163,NJ,477
163,NY,907
163,Other,16213
163,South,12845
163,TX,7310
164,CA,4170
164,FL,9488
164,MI,497
164,NJ,418
164,NY,914
164,Other,17055
164,South,11457
164,TX,7358
165,CA,2245
165,FL,11458
165,MI,406
165,NJ,303
165,NY,777
165,Other,13946
165,South,9470
165,TX,7074
166,CA,11507
166,FL,10059
166,MI,360
166,NJ,392
166,NY,722
166,Other,14224
166,South,9240
166,TX,4265
167,CA,6475
167,FL,6336
167,MI,326
167,NJ,242
167,NY,522
167,Other,14062
167,South,7565
167,TX,7544
168,CA,12968
168,FL,7347
168,MI,633
168,NJ,323
168,NY,448
168,Other,16804
168,South,11760
168,TX,10359
169,CA,8281
169,FL,9989
169,MI,651
169,NJ,199
169,NY,568
169,Other,17244
169,South,13814
169,TX,9364
170,CA,9613
170,FL,8935
170,MI,512
170,NJ,279
170,NY,765
170,Other,18395
170,South,12329
170,TX,11659
171,CA,8523
171,FL,11433
171,MI,622
171,NJ,397
171,NY,920
171,Other,21111
171,South,15751
171,TX,9282
172,CA,7023
172,FL,10360
172,MI,685
172,NJ,368
172,NY,878
172,Other,19095
172,South,13360
172,TX,8246
173,CA,5487
173,FL,15300
173,MI,406
173,NJ,376
173,NY,747
173,Other,16476
173,South,11427
173,TX,8231
174,CA,9145
174,FL,12624
174,MI,422
