date,county,time,count
2020-02-22,Cherokee,32,0
2020-02-22,Greenville,32,0
2020-02-22,Greenwood,32,0
2020-02-22,Laurens,32,0
2020-02-22,Oconee,32,0
2020-02-22,Pickens,32,0
2020-02-22,Spartanburg,32,0
2020-02-22,Union,32,0
2020-02-23,Abbeville,33,0
2020-02-23,Anderson,33,0
2020-02-23,Cherokee,33,0
2020-02-23,Greenville,33,0
2020-02-23,Greenwood,33,0
2020-02-23,Laurens,33,0
2020-02-23,Oconee,33,0
2020-02-23,Pickens,33,0
2020-02-23,Spartanburg,33,0
2020-02-23,Union,33,0
2020-02-24,Abbeville,34,0
2020-02-24,Anderson,34,0
2020-02-24,Cherokee,34,0
2020-02-24,Greenville,34,0
2020-02-24,Greenwood,34,0
2020-02-24,Laurens,34,0
2020-02-24,Oconee,34,0
2020-02-24,Pickens,34,0
2020-02-24,Spartanburg,34,0
2020-02-24,Union,34,0
2020-02-25,Abbeville,35,0
2020-02-25,Anderson,35,0
2020-02-25,Cherokee,35,0
2020-02-25,Greenville,35,0
2020-02-25,Greenwood,35,0
2020-02-25,Laurens,35,0
2020-02-25,Oconee,35,0
2020-02-25,Pickens,35,0
2020-02-25,Spartanburg,35,0
2020-02-25,Union,35,0
2020-02-26,Abbeville,36,0
2020-02-26,Anderson,36,0
2020-02-26,Cherokee,36,0
2020-02-26,Greenville,36,0
2020-02-26,Greenwood,36,0
2020-02-26,Laurens,36,0
2020-02-26,Oconee,36,0
2020-02-26,Pickens,36,0
2020-02-26,Spartanburg,36,0
2020-02-26,Union,36,0
2020-02-27,Abbeville,37,0
2020-02-27,Anderson,37,0
2020-02-27,Cherokee,37,0
2020-02-27,Greenville,37,0
2020-02-27,Greenwood,37,0
2020-02-27,Laurens,37,0
2020-02-27,Oconee,37,0
2020-02-27,Pickens,37,0
2020-02-27,Spartanburg,37,0
2020-02-27,Union,37,0
2020-02-28,Abbeville,38,0
2020-02-28,Anderson,38,0
2020-02-28,Cherokee,38,0
2020-02-28,Greenville,38,0
2020-02-28,Greenwood,38,0
2020-02-28,Laurens,38,0
2020-02-28,Oconee,38,0
2020-02-28,Pickens,38,0
2020-02-28,Spartanburg,38,0
2020-02-28,Union,38,0
2020-02-29,Abbeville,39,0
2020-02-29,Anderson,39,0
2020-02-29,Cherokee,39,0
2020-02-29,Greenville,39,0
2020-02-29,Greenwood,39,0
2020-02-29,Laurens,39,0
2020-02-29,Oconee,39,0
2020-02-29,Pickens,39,0
2020-02-29,Spartanburg,39,0
2020-02-29,Union,39,0
2020-03-01,Abbeville,40,0
2020-03-01,Anderson,40,0
2020-03-01,Cherokee,40,0
2020-03-01,Greenville,40,0
2020-03-01,Greenwood,40,0
2020-03-01,Laurens,40,0
2020-03-01,Oconee,40,0
2020-03-01,Pickens,40,0
2020-03-01,Spartanburg,40,0
2020-03-01,Union,40,0
2020-03-02,Abbeville,41,0
2020-03-02,Anderson,41,0
2020-03-02,Cherokee,41,0
2020-03-02,Greenville,41,0
2020-03-02,Greenwood,41,0
2020-03-02,Laurens,41,0
2020-03-02,Oconee,41,0
2020-03-02,Pickens,41,0
2020-03-02,Spartanburg,41,0
2020-03-02,Union,41,0
2020-03-03,Abbeville,42,0
2020-03-03,Anderson,42,0
2020-03-03,Cherokee,42,0
2020-03-03,Greenville,42,0
2020-03-03,Greenwood,42,0
2020-03-03,Laurens,42,0
2020-03-03,Oconee,42,0
2020-03-03,Pickens,42,0
2020-03-03,Spartanburg,42,0
2020-03-03,Union,42,0
2020-03-04,Abbeville,43,0
2020-03-04,Anderson,43,0
2020-03-04,Cherokee,43,0
2020-03-04,Greenville,43,0
2020-03-04,Greenwood,43,0
2020-03-04,Laurens,43,0
2020-03-04,Oconee,43,0
2020-03-04,Pickens,43,0
2020-03-04,Spartanburg,43,0
2020-03-04,Union,43,0
2020-03-05,Abbeville,44,0
2020-03-05,Anderson,44,0
2020-03-05,Cherokee,44,0
2020-03-05,Greenville,44,0
2020-03-05,Greenwood,44,0
2020-03-05,Laurens,44,0
2020-03-05,Oconee,44,0
2020-03-05,Pickens,44,0
2020-03-05,Spartanburg,44,0
2020-03-05,Union,44,0
2020-03-06,Abbeville,45,0
2020-03-06,Anderson,45,0
2020-03-06,Cherokee,45,0
2020-03-06,Greenville,45,0
2020-03-06,Greenwood,45,0
2020-03-06,Laurens,45,0
2020-03-06,Oconee,45,0
2020-03-06,Pickens,45,0
2020-03-06,Spartanburg,45,0
2020-03-06,Union,45,0
2020-03-07,Abbeville,46,0
2020-03-07,Anderson,46,0
2020-03-07,Cherokee,46,0
2020-03-07,Greenville,46,0
2020-03-07,Greenwood,46,0
2020-03-07,Laurens,46,0
2020-03-07,Oconee,46,0
2020-03-07,Pickens,46,0
2020-03-07,Spartanburg,46,0
2020-03-07,Union,46,0
2020-03-08,Abbeville,47,0
2020-03-08,Anderson,47,0
2020-03-08,Cherokee,47,0
2020-03-08,Greenville,47,0
2020-03-08,Greenwood,47,0
2020-03-08,Laurens,47,0
2020-03-08,Oconee,47,0
2020-03-08,Pickens,47,0
2020-03-08,Spartanburg,47,0
2020-03-08,Union,47,0
2020-03-09,Abbeville,48,0
2020-03-09,Anderson,48,0
2020-03-09,Cherokee,48,0
2020-03-09,Greenville,48,0
2020-03-09,Greenwood,48,0
2020-03-09,Laurens,48,0
2020-03-09,Oconee,48,0
