lastupdated,province,infections,casualties,date,state
2020-03-24 23:37:31,Wyoming,29,0,2020-03-24,Other
2020-03-25 23:33:19,Alabama,381,1,2020-03-25,Other
2020-03-25 23:33:19,Alaska,41,1,2020-03-25,Other
2020-03-25 23:33:19,American Samoa,0,0,2020-03-25,Other
2020-03-25 23:33:19,Arizona,401,6,2020-03-25,Other
2020-03-25 23:33:19,Arkansas,280,2,2020-03-25,Other
2020-03-25 23:33:19,California,2998,65,2020-03-25,CA
2020-03-25 23:33:19,Colorado,1021,16,2020-03-25,Other
2020-03-25 23:33:19,Connecticut,875,19,2020-03-25,Other
2020-03-25 23:33:19,Delaware,119,0,2020-03-25,Other
2020-03-25 23:33:19,Diamond Princess,49,0,2020-03-25,Other
2020-03-25 23:33:19,District of Columbia,187,2,2020-03-25,Other
2020-03-25 23:33:19,Florida,1682,23,2020-03-25,Other
2020-03-25 23:33:19,Georgia,1247,40,2020-03-25,Other
2020-03-25 23:33:19,Grand Princess,28,1,2020-03-25,Other
2020-03-25 23:33:19,Guam,37,1,2020-03-25,Other
2020-03-25 23:33:19,Hawaii,91,0,2020-03-25,Other
2020-03-25 23:33:19,Idaho,91,0,2020-03-25,Other
2020-03-25 23:33:19,Illinois,1865,19,2020-03-25,Other
2020-03-25 23:33:19,Indiana,477,14,2020-03-25,Other
2020-03-25 23:33:19,Iowa,146,1,2020-03-25,Other
2020-03-25 23:33:19,Kansas,134,3,2020-03-25,Other
2020-03-25 23:33:19,Kentucky,197,5,2020-03-25,Other
2020-03-25 23:33:19,Louisiana,1795,65,2020-03-25,Other
2020-03-25 23:33:19,Maine,142,0,2020-03-25,Other
2020-03-25 23:33:19,Maryland,425,4,2020-03-25,Other
2020-03-25 23:33:19,Massachusetts,1838,15,2020-03-25,Other
2020-03-25 23:33:19,Michigan,2296,43,2020-03-25,Other
2020-03-25 23:33:19,Minnesota,286,1,2020-03-25,Other
2020-03-25 23:33:19,Mississippi,377,3,2020-03-25,Other
2020-03-25 23:33:19,Missouri,354,8,2020-03-25,Other
2020-03-25 23:33:19,Montana,65,0,2020-03-25,Other
2020-03-25 23:33:19,Nebraska,71,0,2020-03-25,Other
2020-03-25 23:33:19,Nevada,323,6,2020-03-25,Other
2020-03-25 23:33:19,New Hampshire,108,1,2020-03-25,Other
2020-03-25 23:33:19,New Jersey,4402,62,2020-03-25,NJ
2020-03-25 23:33:19,New Mexico,113,1,2020-03-25,Other
2020-03-25 23:33:19,New York,30841,285,2020-03-25,NY
2020-03-25 23:33:19,North Carolina,590,2,2020-03-25,Other
2020-03-25 23:33:19,North Dakota,45,0,2020-03-25,Other
2020-03-25 23:33:19,Northern Mariana Islands,0,0,2020-03-25,Other
2020-03-25 23:33:19,Ohio,704,11,2020-03-25,Other
2020-03-25 23:33:19,Oklahoma,164,5,2020-03-25,Other
2020-03-25 23:33:19,Oregon,266,10,2020-03-25,Other
2020-03-25 23:33:19,Pennsylvania,1260,15,2020-03-25,Other
2020-03-25 23:33:19,Puerto Rico,51,2,2020-03-25,Other
2020-03-25 23:33:19,Recovered,0,0,2020-03-25,Other
2020-03-25 23:33:19,Rhode Island,132,0,2020-03-25,Other
2020-03-25 23:33:19,South Carolina,424,7,2020-03-25,SC
2020-03-25 23:33:19,South Dakota,41,1,2020-03-25,Other
2020-03-25 23:33:19,Tennessee,916,3,2020-03-25,Other
2020-03-25 23:33:19,Texas,1229,15,2020-03-25,Other
2020-03-25 23:33:19,Utah,340,1,2020-03-25,Other
2020-03-25 23:33:19,Vermont,125,8,2020-03-25,Other
2020-03-25 23:33:19,Virgin Islands,17,0,2020-03-25,Other
2020-03-25 23:33:19,Virginia,396,9,2020-03-25,Other
2020-03-25 23:33:19,Washington,2591,133,2020-03-25,WA
2020-03-25 23:33:19,West Virginia,39,0,2020-03-25,Other
2020-03-25 23:33:19,Wisconsin,621,7,2020-03-25,Other
2020-03-25 23:33:19,Wyoming,44,0,2020-03-25,Other
2020-03-26 23:48:35,Alabama,517,1,2020-03-26,Other
2020-03-26 23:48:35,Alaska,56,1,2020-03-26,Other
2020-03-26 23:48:35,American Samoa,0,0,2020-03-26,Other
2020-03-26 23:48:35,Arizona,508,8,2020-03-26,Other
2020-03-26 23:48:35,Arkansas,335,2,2020-03-26,Other
2020-03-26 23:48:35,California,3899,81,2020-03-26,CA
2020-03-26 23:48:35,Colorado,1430,19,2020-03-26,Other
2020-03-26 23:48:35,Connecticut,1012,21,2020-03-26,Other
2020-03-26 23:48:35,Delaware,130,1,2020-03-26,Other
2020-03-26 23:48:35,Diamond Princess,49,0,2020-03-26,Other
2020-03-26 23:48:35,District of Columbia,231,3,2020-03-26,Other
2020-03-26 23:48:35,Florida,2357,29,2020-03-26,Other
2020-03-26 23:48:35,Georgia,1525,48,2020-03-26,Other
2020-03-26 23:48:35,Grand Princess,28,1,2020-03-26,Other
2020-03-26 23:48:35,Guam,45,1,2020-03-26,Other
2020-03-26 23:48:35,Hawaii,95,0,2020-03-26,Other
2020-03-26 23:48:35,Idaho,146,3,2020-03-26,Other
2020-03-26 23:48:35,Illinois,2538,26,2020-03-26,Other
2020-03-26 23:48:35,Indiana,645,17,2020-03-26,Other
2020-03-26 23:48:35,Iowa,179,1,2020-03-26,Other
2020-03-26 23:48:35,Kansas,172,3,2020-03-26,Other
2020-03-26 23:48:35,Kentucky,247,5,2020-03-26,Other
2020-03-26 23:48:35,Louisiana,2304,83,2020-03-26,Other
2020-03-26 23:48:35,Maine,155,0,2020-03-26,Other
2020-03-26 23:48:35,Maryland,583,4,2020-03-26,Other
2020-03-26 23:48:35,Massachusetts,2417,25,2020-03-26,Other
2020-03-26 23:48:35,Michigan,2845,61,2020-03-26,Other
2020-03-26 23:48:35,Minnesota,344,2,2020-03-26,Other
2020-03-26 23:48:35,Mississippi,485,6,2020-03-26,Other
2020-03-26 23:48:35,Missouri,520,9,2020-03-26,Other
2020-03-26 23:48:35,Montana,90,0,2020-03-26,Other
2020-03-26 23:48:35,Nebraska,74,0,2020-03-26,Other
2020-03-26 23:48:35,Nevada,420,10,2020-03-26,Other
2020-03-26 23:48:35,New Hampshire,137,1,2020-03-26,Other
2020-03-26 23:48:35,New Jersey,6876,81,2020-03-26,NJ
2020-03-26 23:48:35,New Mexico,113,1,2020-03-26,Other
2020-03-26 23:48:35,New York,37877,385,2020-03-26,NY
2020-03-26 23:48:35,North Carolina,738,3,2020-03-26,Other
2020-03-26 23:48:35,North Dakota,51,0,2020-03-26,Other
2020-03-26 23:48:35,Northern Mariana Islands,0,0,2020-03-26,Other
2020-03-26 23:48:35,Ohio,868,15,2020-03-26,Other
2020-03-26 23:48:35,Oklahoma,248,7,2020-03-26,Other
2020-03-26 23:48:35,Oregon,316,11,2020-03-26,Other
2020-03-26 23:48:35,Pennsylvania,1795,18,2020-03-26,Other
2020-03-26 23:48:35,Puerto Rico,64,2,2020-03-26,Other
2020-03-26 23:48:35,Recovered,0,0,2020-03-26,Other
2020-03-26 23:48:35,Rhode Island,165,0,2020-03-26,Other
2020-03-26 23:48:35,South Carolina,424,9,2020-03-26,SC
2020-03-26 23:48:35,South Dakota,46,1,2020-03-26,Other
2020-03-26 23:48:35,Tennessee,1097,3,2020-03-26,Other
2020-03-26 23:48:35,Texas,1563,21,2020-03-26,Other
2020-03-26 23:48:35,Utah,396,1,2020-03-26,Other
2020-03-26 23:48:35,Vermont,158,9,2020-03-26,Other
2020-03-26 23:48:35,Virgin Islands,17,0,2020-03-26,Other
2020-03-26 23:48:35,Virginia,466,10,2020-03-26,Other
2020-03-26 23:48:35,Washington,3207,150,2020-03-26,WA
2020-03-26 23:48:35,West Virginia,52,0,2020-03-26,Other
2020-03-26 23:48:35,Wisconsin,728,10,2020-03-26,Other
2020-03-26 23:48:35,Wyoming,53,0,2020-03-26,Other
