date,time,location,count
2020-03-05,44,USA,217
2020-03-06,45,Brazil,13
2020-03-06,45,China,80690
2020-03-06,45,Italy,4636
2020-03-06,45,NL,128
2020-03-06,45,Other,16059
2020-03-06,45,Russia,13
2020-03-06,45,USA,262
2020-03-07,46,Brazil,13
2020-03-07,46,China,80770
2020-03-07,46,Italy,5883
2020-03-07,46,NL,188
2020-03-07,46,Other,18578
2020-03-07,46,Russia,13
2020-03-07,46,USA,402
2020-03-08,47,Brazil,20
2020-03-08,47,China,80823
2020-03-08,47,Italy,7375
2020-03-08,47,NL,265
2020-03-08,47,Other,20803
2020-03-08,47,Russia,17
2020-03-08,47,USA,518
2020-03-09,48,Brazil,25
2020-03-09,48,China,80860
2020-03-09,48,Italy,9172
2020-03-09,48,NL,321
2020-03-09,48,Other,22612
2020-03-09,48,Russia,17
2020-03-09,48,USA,583
2020-03-10,49,Brazil,31
2020-03-10,49,China,80887
2020-03-10,49,Italy,10149
2020-03-10,49,NL,382
2020-03-10,49,Other,26192
2020-03-10,49,Russia,20
2020-03-10,49,USA,959
2020-03-11,50,Brazil,38
2020-03-11,50,China,80921
2020-03-11,50,Italy,12462
2020-03-11,50,NL,503
2020-03-11,50,Other,30650
2020-03-11,50,Russia,20
2020-03-11,50,USA,1281
2020-03-12,51,Brazil,52
2020-03-12,51,China,80932
2020-03-12,51,Italy,12462
2020-03-12,51,NL,503
2020-03-12,51,Other,32712
2020-03-12,51,Russia,28
2020-03-12,51,USA,1663
2020-03-13,52,Brazil,151
2020-03-13,52,China,80945
2020-03-13,52,Italy,17660
2020-03-13,52,NL,806
2020-03-13,52,Other,43437
2020-03-13,52,Russia,45
2020-03-13,52,USA,2179
2020-03-14,53,Brazil,151
2020-03-14,53,China,80977
2020-03-14,53,Italy,21157
2020-03-14,53,NL,962
2020-03-14,53,Other,50085
2020-03-14,53,Russia,59
2020-03-14,53,USA,2727
2020-03-15,54,Brazil,162
2020-03-15,54,China,81003
2020-03-15,54,Italy,24747
2020-03-15,54,NL,1138
2020-03-15,54,Other,56858
2020-03-15,54,Russia,63
2020-03-15,54,USA,3499
2020-03-16,55,Brazil,200
2020-03-16,55,China,81033
2020-03-16,55,Italy,27980
2020-03-16,55,NL,1416
2020-03-16,55,Other,66273
2020-03-16,55,Russia,90
2020-03-16,55,USA,4632
2020-03-17,56,Brazil,321
2020-03-17,56,China,81058
2020-03-17,56,Italy,31506
2020-03-17,56,NL,1711
2020-03-17,56,Other,76003
2020-03-17,56,Russia,114
2020-03-17,56,USA,6421
2020-03-18,57,Brazil,372
2020-03-18,57,China,81102
2020-03-18,57,Italy,35713
2020-03-18,57,NL,2058
2020-03-18,57,Other,87700
2020-03-18,57,Russia,147
2020-03-18,57,USA,7783
2020-03-19,58,Brazil,621
2020-03-19,58,China,81156
2020-03-19,58,Italy,41035
2020-03-19,58,NL,2467
2020-03-19,58,Other,103406
2020-03-19,58,Russia,199
2020-03-19,58,USA,13747
2020-03-20,59,Brazil,793
2020-03-20,59,China,81250
2020-03-20,59,Italy,47021
2020-03-20,59,NL,3003
2020-03-20,59,Other,120670
2020-03-20,59,Russia,253
2020-03-20,59,USA,19273
2020-03-21,60,Brazil,1021
2020-03-21,60,China,81305
2020-03-21,60,Italy,53578
2020-03-21,60,NL,3640
2020-03-21,60,Other,139130
2020-03-21,60,Russia,306
2020-03-21,60,USA,25600
2020-03-22,61,Brazil,1546
2020-03-22,61,China,81435
2020-03-22,61,Italy,59138
2020-03-22,61,NL,4217
2020-03-22,61,Other,157039
2020-03-22,61,Russia,367
2020-03-22,61,USA,33276
2020-03-23,62,Brazil,1924
2020-03-23,62,China,81498
2020-03-23,62,Italy,63927
2020-03-23,62,NL,4764
2020-03-23,62,Other,181888
2020-03-23,62,Russia,438
2020-03-23,62,USA,43843
2020-03-24,63,Brazil,2247
2020-03-24,63,China,81591
2020-03-24,63,Italy,69176
2020-03-24,63,NL,5580
2020-03-24,63,Other,205281
2020-03-24,63,Russia,495
2020-03-24,63,USA,53736
2020-03-25,64,Brazil,2554
2020-03-25,64,China,81661
2020-03-25,64,Italy,74386
2020-03-25,64,NL,6438
2020-03-25,64,Other,236276
2020-03-25,64,Russia,658
2020-03-25,64,USA,65778
2020-03-26,65,Brazil,2985
2020-03-26,65,China,81782
2020-03-26,65,Italy,80589
2020-03-26,65,NL,7468
2020-03-26,65,Other,272222
2020-03-26,65,Russia,840
2020-03-26,65,USA,83836
2020-03-27,66,Brazil,3417
2020-03-27,66,China,81897
2020-03-27,66,Italy,86498
2020-03-27,66,NL,8647
2020-03-27,66,Other,310307
2020-03-27,66,Russia,1036
2020-03-27,66,USA,101657
2020-03-28,67,Brazil,3904
2020-03-28,67,China,81999
2020-03-28,67,Italy,92472
2020-03-28,67,NL,9819
2020-03-28,67,Other,349930
2020-03-28,67,Russia,1264
2020-03-28,67,USA,121465
2020-03-29,68,Brazil,4256
2020-03-29,68,China,82122
2020-03-29,68,Italy,97689
2020-03-29,68,NL,10930
2020-03-29,68,Other,382850
2020-03-29,68,Russia,1534
2020-03-29,68,USA,140909
2020-03-30,69,Brazil,4579
2020-03-30,69,China,82198
2020-03-30,69,Italy,101739
2020-03-30,69,NL,11817
2020-03-30,69,Other,418500
2020-03-30,69,Russia,1836
2020-03-30,69,USA,161831
2020-03-31,70,Brazil,5717
2020-03-31,70,China,82279
2020-03-31,70,Italy,105792
2020-03-31,70,NL,12667
2020-03-31,70,Other,460644
2020-03-31,70,Russia,2337
2020-03-31,70,USA,188172
2020-04-01,71,Brazil,6836
2020-04-01,71,China,82361
2020-04-01,71,Italy,110574
2020-04-01,71,NL,13696
2020-04-01,71,Other,503164
2020-04-01,71,Russia,2777
2020-04-01,71,USA,213242
2020-04-02,72,Brazil,8044
2020-04-02,72,China,82432
2020-04-02,72,Italy,115242
2020-04-02,72,NL,14788
2020-04-02,72,Other,545801
2020-04-02,72,Russia,3548
2020-04-02,72,USA,243622
2020-04-03,73,Brazil,9056
2020-04-03,73,China,82511
2020-04-03,73,Italy,119827
2020-04-03,73,NL,15821
2020-04-03,73,Other,589162
2020-04-03,73,Russia,4149
2020-04-03,73,USA,275367
2020-04-04,74,Brazil,10360
2020-04-04,74,China,82543
2020-04-04,74,Italy,124632
2020-04-04,74,NL,16727
2020-04-04,74,Other,628416
2020-04-04,74,Russia,4731
2020-04-04,74,USA,308650
2020-04-05,75,Brazil,11130
2020-04-05,75,China,82602
2020-04-05,75,Italy,128948
2020-04-05,75,NL,17953
2020-04-05,75,Other,666919
2020-04-05,75,Russia,5389
2020-04-05,75,USA,336802
2020-04-06,76,Brazil,12161
2020-04-06,76,China,82665
2020-04-06,76,Italy,132547
2020-04-06,76,NL,18926
2020-04-06,76,Other,702477
2020-04-06,76,Russia,6343
